TRACTID,LATITUDE,LONGITUDE,WALK,BIKE,TRANSIT,DRIVE,SHORTEST
3009,43.57947442,-79.71818757,23071,6987,5377,2996,3
3010,43.7154209,-79.73993234,25439,7922,4953,2849,3
3011,43.73702601,-79.74608187,26098,8554,9458,2885,3
3012,43.73223701,-79.73907184,25632,8294,10110,2902,3
3019,43.75553824,-79.44861676,9168,3510,3145,2085,3
3020,43.74937855,-79.44685454,8431,3059,2750,2047,3
3021,43.77964606,-79.33208938,13098,5206,3894,2052,3
3022,43.78897508,-79.33645325,13715,5385,4063,2112,3
3023,43.79062112,-79.34766287,13459,5286,3833,2174,3
3024,43.78820479,-79.36072919,12935,4923,3829,2220,3
3025,43.8328324,-79.22516169,21382,6753,5509,2748,3
3034,43.81874202,-79.20287624,20389,6558,5073,2594,3
3039,43.72684014,-79.64347006,18673,6179,4508,2532,3
3040,43.72424162,-79.72665511,24656,7911,4777,2838,3
3041,43.74679942,-79.73559104,26088,8719,9530,2955,3
3042,43.74155606,-79.72859343,25035,8357,10129,2963,3
3043,43.73680377,-79.72137326,24617,8135,13059,3036,3
3044,43.73146157,-79.71552361,24029,7885,5177,2938,3
3045,43.71773668,-79.71976255,24125,7649,4136,2810,3
3046,43.71301666,-79.71414272,23790,7614,4420,2880,3
3049,43.76954951,-79.43472008,9975,3338,2797,2357,3
3050,43.75181331,-79.5213966,13274,4077,4054,2402,3
3051,43.66424943,-79.38229832,767,446,544,1050,1
3052,43.787757,-79.44885477,11367,4533,2789,2558,3
3053,43.78699444,-79.44214262,11336,4423,2882,2525,3
3061,43.79346186,-79.43008238,12233,4712,3451,2668,3
3062,43.79027191,-79.38522732,12291,5416,3380,2392,3
3063,43.80081704,-79.38530039,13372,5525,4033,2502,3
3064,43.70032461,-79.39198118,3473,1600,1777,1399,3
3065,43.73036148,-79.63437314,18272,6087,5270,2473,3
3066,43.71610824,-79.65306381,19287,6492,5008,2695,3
3067,43.7218099,-79.64890889,19207,6356,4514,2664,3
3068,43.5462578,-79.59064439,16591,5037,3892,2255,3
3069,43.55821998,-79.5781872,15353,4726,3593,2214,3
3070,43.59704188,-79.73664319,24610,7452,3392,2730,3
3082,43.74500677,-79.20407102,14541,4491,3421,2819,3
3083,43.69884305,-79.39161254,3433,1623,1741,1419,3
3084,43.71436945,-79.37397835,5501,2137,2659,1884,3
3085,43.69469093,-79.27739051,7675,2267,2569,2326,1
3086,43.72334731,-79.26718217,10414,3217,2973,2521,3
3087,43.72836734,-79.27317455,10437,3301,2687,2387,3
3091,43.76260649,-79.19463693,15376,4595,3680,2637,3
3101,43.86976436,-79.05730859,28421,8629,13628,3113,3
3157,43.6170833,-79.48186096,7250,2282,3721,1833,3
3188,43.866772,-79.0689307,28051,8515,13980,3090,3
3190,43.84995166,-79.05394869,27353,8222,4599,2892,3
3212,43.8584348,-79.06400771,27247,8308,5079,2965,3
3213,43.65135459,-79.59018493,12919,4062,3285,2315,3
3214,43.68294197,-79.54690973,10943,3441,3142,2263,3
3215,43.69150574,-79.55077761,11551,3673,3263,2253,3
3216,43.68658787,-79.53462556,10156,3239,2868,2352,3
3217,43.68770581,-79.52252654,9357,3011,2721,2434,3
3224,43.73954836,-79.57271577,14416,4973,3626,2581,3
3225,43.73703934,-79.55740939,13548,4618,3609,2465,3
3234,43.86030674,-79.04440937,28175,8500,4706,2876,3
3235,43.69699554,-79.55328466,11605,3764,3467,2274,3
3236,43.70040691,-79.55729203,12382,3866,3212,2262,3
3237,43.66878871,-79.38420286,631,413,631,1139,1
3238,43.73519054,-79.58535966,15311,5066,4150,2670,3
3266,43.63393908,-79.41255641,3186,1085,1985,1574,1
3278,43.65440623,-79.54638194,9823,3343,2843,2130,3
3282,43.62614589,-79.47943159,6633,2154,3454,1546,3
3300,43.65883135,-79.46749617,4708,1453,1458,1896,1
3303,43.65958714,-79.4640768,4506,1441,1546,1838,1
3309,43.64555614,-79.4637677,4845,1593,1778,1695,1
3312,43.64575343,-79.47415925,5294,1647,1585,1684,2
3313,43.61406395,-79.51527286,9666,3104,3051,1843,3
3362,43.81518135,-79.37598361,14869,5878,4296,2404,3
3363,43.8098767,-79.39197738,13850,5669,4153,2483,3
3394,43.6453123,-79.54219344,9399,2872,2592,2059,3
3406,44.16028573,-79.80247184,56444,16949,200000,4875,3
3409,43.85690526,-79.08898024,26622,8266,13852,2951,3
3454,43.84914157,-79.42421323,16837,7103,4603,2499,3
3455,43.85295987,-79.41662066,17389,7685,5136,2480,3
3456,43.81249245,-79.41466704,13498,6257,3609,2586,3
3457,43.83307789,-79.41076149,16369,6619,5046,2381,3
3458,43.82918111,-79.39688302,15729,6413,6232,2469,3
3462,43.87144413,-79.08748422,27994,8609,13838,3022,3
3463,43.70725554,-79.36474355,4929,1766,2251,1769,1
3477,43.76509187,-79.32773188,12009,4495,3641,1949,3
3484,43.72594714,-79.47725295,9179,3271,3001,2117,3
3485,43.66797356,-79.43544754,2866,873,1419,1379,1
3486,43.66346208,-79.43353474,2438,767,200000,1283,1
3487,43.66719959,-79.44251635,3313,1087,1534,1525,1
3488,43.78760716,-79.28406085,15360,4900,3995,2232,3
3493,43.78715232,-79.21492979,17163,5671,4587,2299,3
3494,43.72042897,-79.40769477,5305,2147,2485,1663,3
3495,43.77614934,-79.20611872,16732,5536,4613,2526,3
3496,43.76683941,-79.2122067,15723,4973,3806,2513,3
3497,43.77153607,-79.23578022,15095,4974,3715,2350,3
3498,43.76765637,-79.24479686,14658,4852,3674,2330,3
3501,43.77040604,-79.28269771,13739,4357,3273,2043,3
3502,43.75942421,-79.27654315,12917,4125,3052,2237,3
3503,43.75299767,-79.28222433,12040,3800,3119,2260,3
3504,43.77306478,-79.31335802,13189,3955,3903,2086,3
3505,43.77576504,-79.3010804,13584,4326,3603,2114,3
3506,43.77802334,-79.29125087,14105,4382,3586,2234,3
3507,43.79291467,-79.30910967,15055,4554,3977,2325,3
3508,43.78969215,-79.31834356,14611,4383,4231,2245,3
3509,43.71477926,-79.40611601,4581,1912,2658,1545,3
3511,43.7880309,-79.27410453,15757,4953,4217,2344,3
3512,43.80128832,-79.27988737,17000,5141,4512,2490,3
3513,43.72047291,-79.44197993,6231,2441,2155,1925,3
3514,43.78587756,-79.26197467,15923,4943,3922,2268,3
3515,43.79446002,-79.21978407,17882,5791,4621,2369,3
3516,43.88627542,-79.26763884,25240,7538,4403,2861,3
3517,43.72238193,-79.43486845,5890,2481,2079,1873,3
3518,43.77265271,-79.42548746,10442,3342,2948,2391,3
3519,43.50137416,-79.62418352,21547,6323,4869,2629,3
3524,43.78065933,-79.57941767,18386,6517,3869,2651,3
3533,43.87210559,-79.45100242,19058,8863,5064,2900,3
3534,43.88132378,-79.45296861,19968,9158,5260,2982,3
3535,44.00225612,-79.47775059,29975,11725,6358,3384,3
3536,44.04516106,-79.46215922,33408,12200,6983,3382,3
3539,44.08903837,-79.48963736,36716,13717,11018,3589,3
3540,43.5660059,-79.56980603,14569,4549,6914,2191,3
3542,43.82505462,-79.06310036,26653,7867,11329,2752,3
3543,43.81758024,-79.10176737,23433,6875,5350,2680,3
3544,43.80584231,-79.11445293,23043,6845,5577,2754,3
