,0
5605,POINT (-79.30689706932306 43.68650878126153)
5606,POINT (-79.2968574594809 43.68929782021177)
5607,POINT (-79.34072896221761 43.67497604660626)
5608,POINT (-79.33486688758384 43.67705310061402)
5609,POINT (-79.21214766946748 43.73811283562772)
5610,POINT (-79.27478803111252 43.73623487713818)
5611,POINT (-79.26786451661052 43.73869525790343)
5615,POINT (-79.58171982202697 43.72094279336663)
5616,POINT (-79.61067783678162 43.72982367864694)
5617,POINT (-79.59505599447047 43.73027196759562)
5618,POINT (-79.49816317673307 43.69824698123011)
5619,POINT (-79.49140681998364 43.69999079260494)
5637,POINT (-79.2623815458187 43.7383168947489)
5638,POINT (-79.25497470853047 43.73883932133003)
5639,POINT (-79.24283251792346 43.73656229886305)
5640,POINT (-79.20501510426023 43.79058917233714)
5641,POINT (-79.19796240349001 43.78897133281085)
5642,POINT (-79.33087863949881 43.79828125195522)
5643,POINT (-79.32330232202685 43.79996983607776)
5694,POINT (-79.52594485815159 43.86865305082628)
5695,POINT (-79.52346074318991 43.86245516760655)
5705,POINT (-79.47042483672691 43.68528211630544)
5706,POINT (-79.46537888691677 43.68654742655952)
5707,POINT (-79.53155288084582 43.64852579336591)
5708,POINT (-79.52862196900604 43.64532175072881)
5709,POINT (-79.33393974441086 43.71544238953134)
5714,POINT (-79.34386700170612 43.77232931708381)
5715,POINT (-79.3328413817038 43.77141821150048)
