,0
1312,POINT (-79.52647507407718 43.69650938602309)
1313,POINT (-79.41329581146576 43.74173450069408)
1315,POINT (-79.42293524736864 43.71601638534224)
1316,POINT (-79.43511028709985 43.7125624341664)
1325,POINT (-79.38740584321019 43.64197160314882)
1326,POINT (-79.50122731644819 43.66254140752347)
1327,POINT (-79.48861386597474 43.6630594362294)
1328,POINT (-79.49120133274761 43.66888813793294)
1329,POINT (-79.31312413298701 43.71211846840752)
1330,POINT (-79.32604616613777 43.70614282530204)
1332,POINT (-79.49061363305532 43.61747577362618)
1333,POINT (-79.49302181118064 43.60905890670826)
1334,POINT (-79.49766532013007 43.60827412479872)
1336,POINT (-79.18871966868504 43.77317980620584)
1337,POINT (-79.50384168079439 43.67430952835567)
1338,POINT (-79.48007538599049 43.677394749304)
1339,POINT (-79.86454569026813 43.53501044660064)
1340,POINT (-79.49129049139501 43.68442018795615)
1341,POINT (-79.47722177838783 43.68547071107609)
1342,POINT (-79.26491082539198 43.76548831996139)
1344,POINT (-79.29749027751409 43.75548471772505)
1345,POINT (-79.42835056109355 43.69590110646023)
1346,POINT (-79.44001705252275 43.69447279719668)
1347,POINT (-79.45875992125123 43.6976656718509)
1348,POINT (-79.47031510157903 43.69498161941249)
1349,POINT (-79.48377953063509 43.69236676812218)
1350,POINT (-79.49588752069864 43.68901305989697)
1352,POINT (-79.36443578705341 43.69385560734985)
1353,POINT (-79.33591238021928 43.6972514032101)
1354,POINT (-79.3238996527115 43.69798591218285)
1355,POINT (-79.30749035043969 43.70113096306582)
1356,POINT (-79.30356333397832 43.71081315524871)
1357,POINT (-79.50473952756252 43.59790015755614)
1358,POINT (-79.51511516623214 43.59388994739975)
1359,POINT (-79.51858682384129 43.60154314894165)
1360,POINT (-79.54105600140463 43.66980446352156)
1361,POINT (-79.55313468087925 43.66712988518798)
1362,POINT (-79.56522711598642 43.66449963482336)
1365,POINT (-79.56798657106681 43.83141584325831)
1367,POINT (-79.45898368127108 43.68767666429425)
1368,POINT (-79.45178912910968 43.68936740200437)
1369,POINT (-79.44435340567807 43.69032096047868)
1370,POINT (-79.44067866982496 43.68296774446914)
1371,POINT (-79.43470400326201 43.68562765329791)
1372,POINT (-79.80880295285225 43.68074864115199)
1373,POINT (-79.49809677444664 43.61902799773227)
1374,POINT (-79.53706776824239 43.60658791360869)
1375,POINT (-79.50602520438197 43.68933580078578)
1376,POINT (-79.51258647002012 43.70534907556851)
1377,POINT (-79.29689824400204 43.69301292150536)
1379,POINT (-79.32108019433174 43.69162015818097)
1380,POINT (-79.60378761647512 43.58432782990607)
1381,POINT (-79.4976617986631 43.63972122361511)
1382,POINT (-79.48616284310827 43.63678806951588)
1383,POINT (-79.50935017050324 43.64425552309746)
1384,POINT (-79.51853381363331 43.65173044600972)
1385,POINT (-79.50873975689909 43.65120867588374)
1386,POINT (-79.50249748590059 43.65569578895568)
1387,POINT (-79.51126319951075 43.65649869367201)
1389,POINT (-79.29118896677885 43.73663475490586)
1391,POINT (-79.18881572969427 43.75185978986887)
1393,POINT (-79.58650910055661 44.11629271262203)
1396,POINT (-79.55023302350807 43.60177851581942)
1397,POINT (-79.5243983437397 43.63126753395107)
1398,POINT (-79.47073879468995 43.74356186394375)
1400,POINT (-79.51486477880258 43.63798569685303)
1401,POINT (-79.56806312691558 43.63043788501801)
1404,POINT (-79.51548798797234 43.6923249398121)
1405,POINT (-79.56355540346112 43.71917132288222)
1406,POINT (-79.5697523570829 43.72975156550486)
1408,POINT (-79.56959412070223 43.85254177511104)
1409,POINT (-79.70817944556816 43.55179921836851)
1410,POINT (-79.72285798631565 43.5392322193758)
1411,POINT (-79.79539797918508 43.58953647131553)
1436,POINT (-79.27708906283073 43.95765264402046)
1494,POINT (-79.37047519821922 43.78305845701577)
1495,POINT (-79.35077337760502 43.77653280757819)
1496,POINT (-79.0179510257761 43.90560869918295)
1497,POINT (-79.49433126821562 43.75712820383978)
1498,POINT (-79.50317204958665 43.75417909580188)
1505,POINT (-79.83172667821749 43.699498282637)
1515,POINT (-79.4238598861714 43.66725010406292)
1516,POINT (-79.42932225990303 43.66607976186053)
1518,POINT (-79.45149846512456 43.66284453837848)
1519,POINT (-79.45703719243785 43.65888822305691)
1604,POINT (-79.7683069208618 43.76928881448258)
1609,POINT (-79.75750369343946 43.76657614597453)
1610,POINT (-79.70000737645179 43.77538976665841)
1612,POINT (-79.68931645533597 43.76458498345851)
1613,POINT (-79.77608096495965 43.76084529187631)
1643,POINT (-79.74191073964562 43.5632036941624)
1644,POINT (-79.40673347963583 43.77119653648665)
1646,POINT (-79.75176961766886 43.55505125959029)
1647,POINT (-79.717218457169 43.56216318996399)
1648,POINT (-79.72290923239932 43.55749999960425)
1649,POINT (-79.63336263731831 43.58983829150155)
1650,POINT (-79.6384708193399 43.5868493834592)
1651,POINT (-79.63653196574487 43.61546144860148)
1652,POINT (-79.64475069947281 43.60862076722028)
1653,POINT (-79.7045007788882 43.59921666752962)
1659,POINT (-79.27486685128116 43.97483227122358)
1702,POINT (-79.73003029658098 43.7078361489344)
1710,POINT (-79.37762327214611 43.65642787929195)
1715,POINT (-79.76842191739685 43.66627357618678)
1716,POINT (-79.77317810685662 43.66249098641281)
1717,POINT (-79.79524578775268 43.68998878502419)
1721,POINT (-79.80585768462572 43.72388993506481)
1722,POINT (-79.81368527590861 43.71647708430226)
1731,POINT (-79.81227921977995 43.69278892849344)
1735,POINT (-79.42218036103496 43.75892188078289)
1738,POINT (-79.41276431387902 43.76346171010938)
1752,POINT (-79.67964866709985 43.74347509015632)
1753,POINT (-79.82628730638366 43.68994941544736)
1754,POINT (-79.82025943432103 43.68242548918126)
1755,POINT (-79.80893805159238 43.6987978726377)
