TRACTID,LATITUDE,LONGITUDE,WALK,BIKE,TRANSIT,DRIVE,SHORTEST
1125,43.64224794,-79.45109932,4818,1709,1899,1421,3
1127,43.66464064,-79.46108973,6139,2352,1571,1699,2
1128,43.66410823,-79.46788624,6579,2480,1729,1709,3
1131,43.9075304,-79.36641465,25686,9056,6454,2480,3
1133,43.65975184,-79.40499407,2639,1080,1558,1571,1
1134,43.66409493,-79.40664602,2923,1199,1270,1524,1
1135,43.6632419,-79.39742285,2190,983,973,1388,2
1138,43.43332175,-79.67982209,28626,8215,4884,2618,3
1139,43.43979291,-79.69281232,27913,8067,3812,2478,3
1140,43.42799995,-79.70675088,29147,8308,3878,2627,3
1141,43.4181211,-79.70829243,30121,8814,3988,2650,3
1142,43.41404195,-79.69436366,30727,8772,5151,2824,3
1143,43.64943111,-79.35964382,1467,630,893,1163,1
1145,43.82978829,-79.47332034,18723,6598,4684,2493,3
1146,43.66680143,-79.33043029,3872,1346,2115,1518,1
1147,43.66273965,-79.34993242,2718,1024,1488,1315,1
1148,43.65867912,-79.36005763,1992,869,1260,1233,1
1149,43.95525247,-79.11960279,36283,12138,200000,3093,3
1150,43.65672837,-79.47343603,6836,2522,2087,1770,3
1151,43.65484446,-79.4822777,7309,2654,2288,1612,3
1152,43.6640309,-79.47706052,7137,2660,1971,1847,3
1153,43.67137197,-79.47241691,7236,2748,2375,1973,3
1154,43.67733548,-79.46345365,7120,2556,2212,1988,3
1158,43.68048558,-79.41189173,4281,1828,1492,1817,2
1159,43.68522822,-79.4059238,4358,1761,1549,1611,2
1160,43.68131941,-79.39558231,3755,1419,1093,1714,2
1161,43.73206566,-79.36863303,9195,3549,2856,1984,3
1163,43.8911133,-79.11724631,29674,10042,200000,3224,3
1164,43.67411267,-79.35623057,3819,1385,1392,1567,1
1165,43.67514175,-79.34758022,4053,1499,1693,1643,1
1167,43.67124768,-79.33401862,4146,1475,2486,1585,1
1168,43.6743058,-79.32443171,4819,1706,2207,1700,3
1169,43.67945458,-79.32695052,5297,1835,1789,1785,3
1170,43.68225088,-79.3176272,5937,2028,1968,1872,3
1172,43.84640522,-79.0303892,29541,8899,3571,2746,3
1173,43.85723829,-79.02411441,29646,9161,3985,2845,3
1174,43.68422185,-79.32875204,5705,1957,1613,1859,2
1175,43.68202904,-79.33938749,5144,1855,1543,1798,2
1176,43.68069466,-79.35019921,4541,1686,1507,1809,2
1177,43.67898889,-79.35884348,4048,1617,1309,1620,2
1178,43.70908246,-79.40465687,6106,2774,1872,1938,2
1180,43.71375155,-79.39026508,6575,2510,2282,1989,3
1181,43.72210948,-79.3952956,7211,2712,1965,2054,2
1182,43.71413214,-79.41655492,6977,2667,2734,2050,3
1192,43.63526687,-79.4507666,4685,1846,2218,1567,3
1193,43.63746251,-79.43979229,3934,1416,2091,1331,3
1194,43.63991158,-79.43049796,3367,1285,1759,1363,1
1195,43.63591096,-79.4333304,3612,1369,2234,1207,3
1197,43.64319929,-79.41862843,2699,1099,1677,1628,1
1198,43.70135296,-79.40277358,5525,2579,1609,1781,2
1199,43.69593689,-79.41038324,5300,2112,2066,1797,3
1200,43.6941738,-79.41888918,5510,2224,1877,1922,2
1201,43.74372806,-79.3663012,10474,3765,3426,2071,3
1202,43.74479399,-79.34865631,10803,3831,3680,1923,3
1217,43.65056685,-79.45451113,5124,1934,1427,1482,2
1218,43.65093899,-79.44811197,4753,1864,1378,1606,2
1220,43.64584448,-79.39461346,1011,506,718,1163,1
1221,43.64858635,-79.3821473,539,469,384,951,2
1222,43.65058752,-79.37538107,758,304,358,973,1
1223,43.65375169,-79.36388372,1439,564,1076,1067,1
1224,43.66925535,-79.37757538,2604,1150,1169,1381,1
1225,43.66527119,-79.37308869,2292,994,1334,1361,1
1226,43.67041079,-79.36510432,3166,1234,1643,1590,1
1227,43.66523297,-79.3622438,2599,1082,1674,1452,1
1228,43.6692191,-79.35059921,3374,1235,1843,1489,1
1237,43.65824154,-79.34629532,2566,950,1483,1296,1
1238,43.66082419,-79.33475745,3336,1136,1730,1412,1
1239,43.66396441,-79.3156067,4583,1625,2370,1481,3
1245,43.6853577,-79.42652359,5488,2301,1913,2033,2
1246,43.66190239,-79.36113749,2292,972,1559,1402,1
1247,43.66085145,-79.37138813,1872,853,1388,1277,1
1248,43.65654476,-79.369522,1458,682,991,1159,1
1249,43.65610867,-79.38495209,1179,592,635,1136,1
1250,43.65183945,-79.39246895,1253,754,745,1245,2
1251,43.65636901,-79.39429612,1602,844,778,1293,2
1252,43.65476441,-79.40279171,2211,1006,1583,1510,1
1253,43.65441589,-79.44196376,4598,1772,1358,1676,2
1254,43.65640866,-79.43278547,4177,1577,1599,1633,1
1255,43.65779549,-79.42604582,4040,1513,1704,1894,1
1256,43.65885745,-79.42071074,3613,1369,1739,1765,1
1257,43.66251216,-79.41431362,3447,1347,1434,1621,1
1258,43.65817513,-79.4126519,3060,1229,1850,1604,1
