TRACTID,LONGITUDE,LATITUDE
1362,-79.56522712,43.66449963
1365,-79.56798657,43.83141584
1367,-79.45898368,43.68767666
1368,-79.45178913,43.6893674
1369,-79.44435341,43.69032096
1370,-79.44067867,43.68296774
1371,-79.434704,43.68562765
1372,-79.80880295,43.68074864
1373,-79.49809677,43.619028
1374,-79.53706777,43.60658791
1375,-79.5060252,43.6893358
1376,-79.51258647,43.70534908
1377,-79.29689824,43.69301292
1379,-79.32108019,43.69162016
1380,-79.60378762,43.58432783
1381,-79.4976618,43.63972122
1382,-79.48616284,43.63678807
1383,-79.50935017,43.64425552
1384,-79.51853381,43.65173045
1385,-79.50873976,43.65120868
1386,-79.50249749,43.65569579
1387,-79.5112632,43.65649869
1389,-79.29118897,43.73663475
1391,-79.18881573,43.75185979
1393,-79.5865091,44.11629271
1396,-79.55023302,43.60177852
1397,-79.52439834,43.63126753
1398,-79.47073879,43.74356186
1400,-79.51486478,43.6379857
1401,-79.56806313,43.63043789
1404,-79.51548799,43.69232494
1405,-79.5635554,43.71917132
1406,-79.56975236,43.72975157
1408,-79.56959412,43.85254178
1409,-79.70817945,43.55179922
1410,-79.72285799,43.53923222
1411,-79.79539798,43.58953647
1436,-79.27708906,43.95765264
1494,-79.3704752,43.78305846
1495,-79.35077338,43.77653281
1496,-79.01795103,43.9056087
1497,-79.49433127,43.7571282
1498,-79.50317205,43.7541791
1505,-79.83172668,43.69949828
1515,-79.42385989,43.6672501
1516,-79.42932226,43.66607976
1518,-79.45149847,43.66284454
1519,-79.45703719,43.65888822
1604,-79.76830692,43.76928881
1609,-79.75750369,43.76657615
1610,-79.70000738,43.77538977
1612,-79.68931646,43.76458498
1613,-79.77608096,43.76084529
1643,-79.74191074,43.56320369
1644,-79.40673348,43.77119654
1646,-79.75176962,43.55505126
1647,-79.71721846,43.56216319
1648,-79.72290923,43.5575
1649,-79.63336264,43.58983829
1650,-79.63847082,43.58684938
1651,-79.63653197,43.61546145
1652,-79.6447507,43.60862077
1653,-79.70450078,43.59921667
1659,-79.27486685,43.97483227
1702,-79.7300303,43.70783615
1710,-79.37762327,43.65642788
1715,-79.76842192,43.66627358
1716,-79.77317811,43.66249099
1717,-79.79524579,43.68998879
1721,-79.80585768,43.72388994
1722,-79.81368528,43.71647708
1731,-79.81227922,43.69278893
1735,-79.42218036,43.75892188
1738,-79.41276431,43.76346171
1752,-79.67964867,43.74347509
1753,-79.82628731,43.68994942
1754,-79.82025943,43.68242549
