TRACTID,LATITUDE,LONGITUDE,WALK,BIKE,TRANSIT,DRIVE,SHORTEST
1337,43.67430953,-79.50384168,8471,2371,2975,1611,3
1338,43.67739475,-79.48007539,9795,3048,3667,1686,3
1339,43.53501045,-79.86454569,23543,7382,5704,2168,3
1340,43.68442019,-79.49129049,8734,2535,2390,1569,3
1341,43.68547071,-79.47722178,9729,2900,3153,1675,3
1342,43.76548832,-79.26491083,24170,8999,4882,2132,3
1344,43.75548472,-79.29749028,22009,8109,5203,2099,3
1345,43.69590111,-79.42835056,12573,3828,3403,1729,3
1346,43.6944728,-79.44001705,11778,3639,3266,1720,3
1347,43.69766567,-79.45875992,10556,3498,3640,1782,3
1348,43.69498162,-79.4703151,9631,3152,3331,1661,3
1349,43.69236677,-79.48377953,8786,2920,2919,1464,3
1350,43.68901306,-79.49588752,8034,2550,2761,1554,3
1352,43.69385561,-79.36443579,17995,6209,4743,2248,3
1353,43.6972514,-79.33591238,18768,6173,4459,2233,3
1354,43.69798591,-79.32389965,19433,6214,3976,2294,3
1355,43.70113096,-79.30749035,20975,6918,4902,2643,3
1356,43.71081316,-79.30356333,21123,6724,4622,2545,3
1357,43.59790016,-79.50473953,11951,3456,3517,1632,3
1358,43.59388995,-79.51511517,11448,3067,2968,1648,3
1359,43.60154315,-79.51858682,10807,2897,2774,1541,3
1360,43.66980446,-79.541056,5829,1612,2375,1300,3
1361,43.66712989,-79.55313468,5255,1428,950,1221,2
1362,43.66449963,-79.56522712,4558,1165,1406,1260,1
1365,43.83141584,-79.56798657,16981,5360,5452,1862,3
1367,43.68767666,-79.45898368,10862,3396,3683,1900,3
1368,43.6893674,-79.45178913,11276,3441,3855,1960,3
1369,43.69032096,-79.44435341,11725,3757,4134,1880,3
1370,43.68296774,-79.44067867,11947,3659,3750,1999,3
1371,43.68562765,-79.434704,12292,3766,3787,1902,3
1372,43.68074864,-79.80880295,15269,4572,4534,2189,3
1373,43.619028,-79.49809677,10834,2995,3314,1559,3
1374,43.60658791,-79.53706777,9161,2687,3728,1417,3
1375,43.6893358,-79.5060252,7861,2508,2984,1589,3
1376,43.70534908,-79.51258647,7068,2181,2345,1369,3
1377,43.69301292,-79.29689824,21859,6347,3686,2688,3
1379,43.69162016,-79.32108019,20011,6093,3821,2452,3
1380,43.58432783,-79.60378762,10708,3213,3374,1671,3
1381,43.63972122,-79.4976618,9791,2680,3332,1796,3
1382,43.63678807,-79.48616284,10593,2872,3639,1706,3
1383,43.64425552,-79.50935017,8742,2448,2472,1761,3
1384,43.65173045,-79.51853381,8139,2240,2604,1767,3
1385,43.65120868,-79.50873976,8508,2338,2264,1709,3
1386,43.65569579,-79.50249749,9220,2481,3018,1862,3
1387,43.65649869,-79.5112632,8203,2346,2682,1688,3
1389,43.73663475,-79.29118897,21856,7686,4686,2249,3
1391,43.75185979,-79.18881573,28316,9182,4686,2687,3
1393,44.11629271,-79.5865091,42255,11307,22960,3022,3
1396,43.60177852,-79.55023302,9521,2518,3660,1411,3
1397,43.63126753,-79.52439834,8745,2395,2488,1682,3
1398,43.74356186,-79.47073879,12754,3892,3875,1947,3
1400,43.6379857,-79.51486478,8724,2401,2978,1644,3
1401,43.63043789,-79.56806313,6032,1653,2379,1322,3
1404,43.69232494,-79.51548799,6817,2304,1633,1513,3
1405,43.71917132,-79.5635554,5914,1896,2256,1388,3
1406,43.72975157,-79.56975236,6855,2181,2359,1507,3
1408,43.85254178,-79.56959412,18551,5836,5014,1878,3
1409,43.55179922,-79.70817945,14818,4134,4016,1803,3
1410,43.53923222,-79.72285799,16241,4564,5383,1846,3
1411,43.58953647,-79.79539798,16548,5730,4542,1913,3
1436,43.95765264,-79.27708906,38675,12557,8219,2890,3
1494,43.78305846,-79.3704752,19931,7032,4605,2125,3
1495,43.77653281,-79.35077338,20203,7723,4064,1974,3
1496,43.9056087,-79.01795103,45539,14453,8159,3140,3
1497,43.7571282,-79.49433127,12376,4151,3161,1788,3
1498,43.7541791,-79.50317205,11881,3972,3708,1837,3
1505,43.69949828,-79.83172668,17032,5312,4923,2396,3
1515,43.6672501,-79.42385989,13733,4126,2494,2344,3
1516,43.66607976,-79.42932226,13327,4034,2378,2300,3
1518,43.66284454,-79.45149847,11921,3734,1610,2161,2
1519,43.65888822,-79.45703719,11841,3603,1682,2014,2
1604,43.76928881,-79.76830692,12555,3992,4333,2223,3
1609,43.76657615,-79.75750369,11815,3710,4036,2173,3
1610,43.77538977,-79.70000738,10383,3077,5319,1774,3
1612,43.76458498,-79.68931646,10162,2784,5780,1700,3
1613,43.76084529,-79.77608096,13276,4294,4920,1996,3
1643,43.56320369,-79.74191074,16457,4819,4252,2006,3
1644,43.77119654,-79.40673348,17348,6446,3063,1892,3
1646,43.55505126,-79.75176962,17346,5045,4535,1983,3
1647,43.56216319,-79.71721846,14992,4215,4060,1921,3
1648,43.5575,-79.72290923,15397,4346,3871,1937,3
1649,43.58983829,-79.63336264,10465,3012,2818,1699,3
1650,43.58684938,-79.63847082,10809,3196,2438,1820,3
1651,43.61546145,-79.63653197,8048,2296,2076,1472,3
1652,43.60862077,-79.6447507,8692,2409,2107,1465,3
1653,43.59921667,-79.70450078,12557,3711,3942,1802,3
1659,43.97483227,-79.27486685,40344,12967,8827,3004,3
1702,43.70783615,-79.7300303,9575,2805,3593,1635,3
1710,43.65642788,-79.37762327,16937,5028,2208,2234,2
1715,43.66627358,-79.76842192,12890,4151,4688,1992,3
1716,43.66249099,-79.77317811,13158,3748,5798,1860,3
1717,43.68998879,-79.79524579,14576,4404,4806,2286,3
1721,43.72388994,-79.80585768,15248,4618,4822,2085,3
1722,43.71647708,-79.81368528,16535,5053,5587,2297,3
1731,43.69278893,-79.81227922,15672,4876,4862,2267,3
1735,43.75892188,-79.42218036,15504,4727,3258,1752,3
1738,43.76346171,-79.41276431,16347,4973,2699,1770,3
1752,43.74347509,-79.67964867,6816,1850,2933,1500,3
1753,43.68994942,-79.82628731,16529,5145,4627,2357,3
1754,43.68242549,-79.82025943,16229,5039,4157,2341,3
1755,43.69879787,-79.80893805,15224,4731,5038,2245,3
1759,43.63884325,-79.39653667,16267,4733,3060,1959,3
1764,43.66076122,-79.37947737,16926,4926,2389,2340,3
